id,age,job_type,marital_status,salary,education_level,bad_credit,mortgage,credit_cards,contact_type,contact_month,contact_weekday,contacts,days_since_contact,previous,cust_lifetime_value,subscribed
1,44,laborer,married,24920,elementary,unknown,yes,no,mobile,aug,thu,1,999,0,6563,0
2,53,technician,married,23254,unknown,no,no,no,mobile,nov,fri,1,999,0,7171,0
3,28,management,single,150160,university,no,yes,no,mobile,jun,thu,3,6,2,7299,1
4,39,services,married,63930,high school,no,no,no,mobile,apr,fri,2,999,0,9278,0
5,55,retired,married,31873,elementary,no,yes,no,mobile,aug,fri,1,3,1,6866,1
6,30,management,divorced,26497,elementary,no,yes,no,mobile,jul,tue,8,999,0,6580,0
7,37,laborer,married,27725,elementary,no,yes,no,mobile,may,thu,1,999,0,9379,0
8,39,laborer,divorced,27044,elementary,no,yes,no,mobile,may,fri,1,999,0,9097,0
9,36,administrative,married,142418,university,no,no,no,mobile,jun,mon,1,3,1,9135,1
10,27,laborer,single,28746,elementary,no,yes,no,mobile,apr,thu,2,999,1,8149,0
11,34,housekeeping,single,63734,university,no,no,no,email,may,fri,2,999,0,7233,0
12,41,management,married,102021,university,no,yes,no,mobile,aug,thu,1,999,0,8693,1
13,55,management,married,119980,university,no,no,no,mobile,aug,mon,3,999,0,5834,1
14,33,services,divorced,44100,high school,no,yes,no,mobile,may,tue,5,999,0,7078,0
15,26,administrative,married,42699,high school,no,no,yes,email,jun,mon,1,999,0,8352,1
16,52,services,married,48505,high school,unknown,yes,no,mobile,jul,thu,2,999,0,6060,0
17,35,services,married,60467,high school,no,no,no,mobile,apr,thu,2,999,0,8360,1
18,27,administrative,single,84501,university,no,no,no,email,oct,tue,1,999,0,8517,1
19,28,laborer,married,32657,elementary,unknown,no,no,email,may,thu,1,999,0,7932,0
20,26,unemployed,single,32840,elementary,no,yes,yes,mobile,jul,mon,4,999,0,7040,1
21,41,unemployed,married,34162,elementary,unknown,yes,no,email,apr,fri,1,999,1,7187,0
22,35,laborer,single,27726,unknown,no,no,yes,email,jun,fri,1,999,0,8645,1
23,40,administrative,married,105383,university,unknown,yes,no,email,jul,wed,1,999,0,8132,1
24,32,technician,single,60991,trade school,no,no,no,mobile,jul,thu,1,999,0,7218,0
25,41,laborer,married,45159,high school,no,yes,yes,mobile,jul,thu,3,999,0,8767,1
26,34,entrepreneur,single,142162,university,no,yes,no,mobile,may,tue,2,999,0,8001,1
27,49,technician,divorced,26990,unknown,no,yes,yes,mobile,oct,thu,1,999,0,6795,1
28,37,administrative,married,56483,high school,no,yes,no,mobile,apr,thu,1,2,1,5406,1
29,35,laborer,married,23558,elementary,unknown,yes,no,mobile,may,fri,2,999,0,9355,0
30,38,laborer,single,28089,elementary,yes,no,no,email,jul,tue,5,999,0,8004,0
31,47,services,divorced,64271,high school,no,no,no,email,jun,tue,1,999,0,5933,0
32,46,administrative,married,96842,university,no,no,no,mobile,may,thu,2,999,0,7461,1
33,27,technician,married,56539,trade school,no,yes,no,mobile,may,mon,1,999,0,9144,0
34,29,technician,married,59635,high school,no,yes,no,mobile,jun,fri,3,999,0,7336,1
35,32,services,divorced,31325,elementary,unknown,no,no,mobile,jul,wed,2,999,0,8778,0
36,36,laborer,married,31844,elementary,yes,no,no,mobile,may,wed,1,999,2,7864,0
37,29,laborer,married,23673,elementary,no,yes,yes,mobile,jul,mon,1,999,0,8293,1
38,47,technician,married,48745,high school,unknown,no,no,mobile,apr,mon,2,999,1,7241,0
39,44,laborer,married,31186,elementary,no,yes,no,email,jun,mon,25,999,0,9183,0
40,54,management,married,145503,university,no,yes,yes,mobile,aug,thu,11,999,0,8222,1
41,36,laborer,married,32188,elementary,no,no,no,email,may,thu,2,999,0,5899,0
42,42,laborer,married,33924,elementary,no,yes,no,email,may,wed,1,999,0,5435,0
43,44,laborer,married,28606,elementary,no,no,no,mobile,jul,tue,5,999,0,5529,0
44,72,retired,divorced,31894,elementary,no,yes,no,mobile,nov,wed,2,999,0,6601,1
45,48,laborer,married,22848,elementary,unknown,no,no,mobile,aug,tue,3,999,0,9411,0
46,36,management,married,42894,high school,unknown,yes,no,mobile,nov,thu,1,999,0,5867,0
47,35,housekeeping,married,25637,elementary,no,yes,no,mobile,aug,mon,1,999,0,7786,0
48,43,entrepreneur,married,26038,elementary,no,yes,no,mobile,may,mon,3,999,1,9021,0
49,56,retired,married,29286,elementary,unknown,yes,no,mobile,aug,wed,1,999,0,5096,0
50,42,laborer,married,27725,elementary,unknown,yes,no,email,jun,fri,2,999,0,7186,0
51,31,administrative,single,90974,university,no,yes,no,mobile,may,mon,1,999,0,8467,1
52,32,technician,married,33244,elementary,yes,no,no,email,jun,thu,5,999,0,7013,0
53,33,laborer,married,52684,high school,unknown,yes,yes,mobile,may,mon,2,999,1,6285,1
54,31,laborer,married,31292,elementary,unknown,no,no,email,jun,wed,4,999,0,7682,0
55,39,management,married,74743,university,no,yes,no,email,may,wed,1,999,0,5462,1
56,30,laborer,married,49344,high school,no,no,no,email,may,mon,4,999,0,7919,0
57,24,management,single,158654,university,no,yes,no,mobile,may,thu,4,999,1,7960,1
58,24,administrative,married,52395,high school,no,no,yes,email,may,mon,1,999,0,7162,1
59,38,laborer,married,55393,trade school,no,yes,no,email,may,wed,4,999,0,7463,0
60,26,laborer,married,52922,high school,no,yes,no,email,jun,wed,12,999,0,8716,0
61,41,technician,married,52793,trade school,no,no,no,email,may,tue,1,999,0,8800,0
62,34,administrative,married,42377,high school,no,yes,yes,mobile,apr,fri,1,999,0,6284,1
63,30,management,married,133202,university,no,no,no,mobile,mar,mon,1,999,0,5581,1
64,37,administrative,married,83257,university,no,yes,no,mobile,nov,fri,1,999,0,8350,1
65,68,retired,married,23738,elementary,no,yes,no,mobile,jul,wed,1,999,0,8619,0
66,31,administrative,single,49603,high school,no,no,no,mobile,jul,fri,2,999,0,8549,0
67,48,technician,divorced,77627,university,no,yes,no,mobile,apr,thu,1,999,0,8272,1
68,33,technician,married,50497,trade school,no,yes,no,email,may,mon,4,999,0,7320,0
69,59,self-employed,single,63340,university,no,yes,no,email,may,fri,3,999,0,5491,1
70,44,laborer,married,25237,unknown,unknown,yes,no,email,may,tue,3,999,0,5385,0
71,28,unknown,single,28697,unknown,yes,yes,no,email,jun,thu,1,999,0,8682,0
72,50,management,married,99923,university,no,no,no,mobile,aug,tue,3,4,1,7701,1
73,33,entrepreneur,married,127144,university,no,no,no,mobile,nov,thu,1,999,0,5317,1
